Country,2015,1970
Australia,23815995,12507000
Canada,35702908,21324000
Dominican Republic,10281680,4499720
Greece,10820883,8792806
Ireland,4701957,2957250
Jamaica,2891021,1875642
Mexico,121858258,51493565
Poland,37986412,32664300
Thailand,68714511,36884536
United States,320635163,205052000
