Country,Female,Male
Australia,84.5,80.4
Canada,84,79.9
Dominican Republic,76.525,70.189
Greece,83.7,78.5
Ireland,83.4,79.6
Jamaica,75.687,72.574
Mexico,77.837,71.954
Poland,81.6,73.5
Thailand,79.863,72.412
United States,81.2,76.3
